timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1740752986371,31,HTTP Request,200,OK,Thread Group 1-316,text,true,,307,257,17,17,http://localhost/exam/Exo1/src/api.php,31,0,0
1740752986365,41,HTTP Request,200,OK,Thread Group 1-313,text,true,,307,257,18,18,http://localhost/exam/Exo1/src/api.php,41,0,0
1740752986368,38,HTTP Request,200,OK,Thread Group 1-314,text,true,,307,257,18,18,http://localhost/exam/Exo1/src/api.php,38,0,0
1740752986369,39,HTTP Request,200,OK,Thread Group 1-315,text,true,,307,257,17,17,http://localhost/exam/Exo1/src/api.php,39,0,1
1740752986364,44,HTTP Request,200,OK,Thread Group 1-312,text,true,,307,257,17,17,http://localhost/exam/Exo1/src/api.php,44,0,0
1740752986388,20,HTTP Request,200,OK,Thread Group 1-324,text,true,,307,257,17,17,http://localhost/exam/Exo1/src/api.php,20,0,0
1740752986400,11,HTTP Request,200,OK,Thread Group 1-329,text,true,,307,257,15,15,http://localhost/exam/Exo1/src/api.php,11,0,0
1740752986378,35,HTTP Request,200,OK,Thread Group 1-319,text,true,,307,257,14,14,http://localhost/exam/Exo1/src/api.php,35,0,0
1740752986384,29,HTTP Request,200,OK,Thread Group 1-322,text,true,,307,257,14,14,http://localhost/exam/Exo1/src/api.php,29,0,0
1740752986390,23,HTTP Request,200,OK,Thread Group 1-326,text,true,,307,257,14,14,http://localhost/exam/Exo1/src/api.php,23,0,1
1740752986389,24,HTTP Request,200,OK,Thread Group 1-325,text,true,,307,257,14,14,http://localhost/exam/Exo1/src/api.php,24,0,1
1740752986380,37,HTTP Request,200,OK,Thread Group 1-320,text,true,,307,257,13,13,http://localhost/exam/Exo1/src/api.php,37,0,0
1740752986382,37,HTTP Request,200,OK,Thread Group 1-321,text,true,,307,257,13,13,http://localhost/exam/Exo1/src/api.php,37,0,0
1740752986411,15,HTTP Request,200,OK,Thread Group 1-335,text,true,,307,257,16,16,http://localhost/exam/Exo1/src/api.php,15,0,0
1740752986408,18,HTTP Request,200,OK,Thread Group 1-334,text,true,,307,257,16,16,http://localhost/exam/Exo1/src/api.php,18,0,0
1740752986401,29,HTTP Request,200,OK,Thread Group 1-331,text,true,,307,257,16,16,http://localhost/exam/Exo1/src/api.php,29,0,1
1740752986394,36,HTTP Request,200,OK,Thread Group 1-327,text,true,,307,257,16,16,http://localhost/exam/Exo1/src/api.php,36,0,0
